country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,4.,"DIANA ROSENSTURM, 2 kl","56,0",ž. Ján Havlík,krk,,2,Héč Karel,,,,,,,,,,,,
,,,,5.,"DANCING FLAME(AUT), 2 kl","57,0",ž. Martin Srnec,3/4,,11,Ročák Michal,,,,,,,,,,,,
,,,,6.,"TAURITO, 2 val","58,0",Matej Rigo,krk,,8,Bodlák Radim,,,,,,,,,,,,
,,,,7.,"SINNDARKA(IRE), 2 kl","58,0",ž. Jan Rája,2 1/4,,9,Vocásková Helena,,,,,,,,,,,,
,,,,8.,"THOR(POL), 2 hř","57,0",Jozef Parigál,9,,1,Rosival Jozef,,,,,,,,,,,,
,,,,9.,"ELITER(IRE), 2 hř","57,0",ž. Róbert Šara,10,,5,Kubovičová Zuzana,,,,,,,,,,,,
,,,"7145 Handicap Lenky Top
Rovina II.kat. - 1700 m, handicap, 3letí a starší
3.000 EUR (1500 - 750 - 450 - 300)
Zápisné: 0 + 0 EUR",ZN,"JEAN GREEN, 2 kl","56,0",Michal Abík,,,4,Hanáček Jaroslav,,,,,,,,,,,,
,,,,1.,"YORDANA, 3 kl","52,0",ž. Zdenko Šmida,JISTĚ,,6,Lehocký Jozef,,,,,,,,,,,,
,,,,2.,"SHEBY JAIL, 3 val","52,0",ž. Peter Hodáň,1,,3,Bodlák Radim,,,,,,,,,,,,
,,,,3.,"JOLLY JUMPER(AUT), 4 hř","60,0",ž. Róbert Šara,1/2,,5,Kroutilík Jaroslav,,,,,,,,,,,,
,,,,4.,"QUICK DART(SVK), 3 hř","56,5",Michal Abík,3 1/2,,4,Chodúr Jozef,,,,,,,,,,,,
,,,,5.,"TENO(POL), 3 hř","56,5",Jozef Parigál,kr.hlava,,7,Rosival Jozef,,,,,,,,,,,,
,,,,6.,"NOEM, 6 hř","58,5",ž. Zuzana Vokálková,1,,2,Lehocký Jozef,,,,,,,,,,,,
,,,"7146 Cena grófa Jozefa Huňadyho
Rovina II.kat. - 1200 m, cena, 3letí a starší
3.000 EUR (1500 - 750 - 450 - 300)
Zápisné: 0 + 0 EUR",7.,"MY LITTLE STAR(IRE), 5 kl","60,0",ž. Jaroslav Línek,2,,1,Rosival Jozef,,,,,,,,,,,,
,,,,1.,"INVISIBLE BID(GB), 3 kl","61,5",ž. Martin Srnec,JISTĚ,,7,Kubovičová Zuzana,,,,,,,,,,,,
,,,,2.,"TAPDANCE(GER), 5 kl","57,0",ž. Jan Rája,1 3/4,,3,Moravec Zdeněk,,,,,,,,,,,,
,,,,3.,"SAMANTHA FOR LOVE(GB), 4 kl","60,0",ž. Róbert Šara,2 3/4,,2,Valachovič Oto,,,,,,,,,,,,
,,,,4.,"BIARRITZ(SVK), 4 kl","58,0",ž. Zdenko Šmida,1,,4,Kubovičová Zuzana,,,,,,,,,,,,
,,,,5.,"DODYBUD(IRE), 4 hř","58,0",ž. Jaroslav Línek,krk,,1,Chodúr Jozef,,,,,,,,,,,,
,,,,6.,"ROBINSON CRUSO(GB), 6 hř","63,5",Lukáš Matuský,5,,5,Hlavenka Peter,,,,,,,,,,,,
,,,"7147 Cena Senzusa
Proutky - - 3600 m, cena, 4letí a starší
2.000 EUR (1000 - 460 - 300 - 140 - 100)
Zápisné: 0 + 0 EUR",7.,"GLASS OF CHAMPAGNE(SLO), 7 hř","57,5",ž. Peter Hodáň,19,,6,Lehocký Jozef,,,,,,,,,,,,
,,,,1.,"PROUD BORIS(GER), 9 hř","70,0",ž. Jaroslav Línek,BOJ,,9,Hanáček Jaroslav,,,,,,,,,,,,
,,,,2.,"SO FANTASTIC(GB), 7 hř","68,0",ž. Jaroslav Brečka,1,,4,Brečka Jaroslav,,,,,,,,,,,,
,,,,3.,"MONTINELLO(FR), 9 val","67,5",Lukáš Matuský,19,,3,Reindl Alexander,,,,,,,,,,,,
,,,,4.,"RUSSELL, 4 hř","63,0",žk. Adam Eliáš,6,,2,Hanáček Jaroslav,,,,,,,,,,,,
,,,,5.,"SATURNINO(SLO), 9 hř","68,5",Matej Rigo,3/4,,1,Kuchárik Ján,,,,,,,,,,,,
,,,,6.,"IZOP(IRE), 6 hř","66,0",Martin Liška,19,,8,Hlavenka Peter,,,,,,,,,,,,
,,,,Z,"ROYAL OKAWANGO(GER), 5 val","67,5",Josef Sovka,,,6,Ročák Michal,,,,,,,,,,,,
,,,,Z,"MAKTUM(IRE), 6 hř","65,5",Jan Derych,,,5,Grupáčová Zuzana,,,,,,,,,,,,
,,,"7148 Cena Mojmíroviec-Urmína (Velká októbrová cena)
Rovina I.kat. - 2000 m, cena, 3letí a starší
6.000 EUR (3000 - 1500 - 900 - 600)
Zápisné: 0 + 0 EUR",Z,"FLY BY ME(SVK), 4 val","66,5",Miroslav Stančík,,,7,Kuchárik Ján,,,,,,,,,,,,
,,,,1.,"MY OLD HUSBAND(FR), 5 hř","59,5",ž. Róbert Šara,JISTĚ,,3,Olehla Čestmír,,,,,,,,,,,,
,,,,2.,"INNOVATOR(GER), 6 hř","62,5",ž. Martin Srnec,1 1/2,,4,Kubovičová Zuzana,,,,,,,,,,,,
,,,,3.,"QUEBRACHO(SVK), 4 hř","60,5",ž. Jaroslav Línek,hlava,,6,Brečka Jaroslav,,,,,,,,,,,,
,,,,4.,"PRIME PREACHER(USA), 5 val","59,5",ž. Ján Havlík,1 1/2,,2,Ročák Michal,,,,,,,,,,,,
,,,,5.,"JOVELL(POL), 3 hř","59,0",ž. Zuzana Vokálková,kr.hlava,,1,Holčák Radek,,,,,,,,,,,,
,,,,6.,"ARCTIC GALAXY(CAN), 4 hř","60,5",ž. Zdenko Šmida,1 3/4,,5,Holčák František,,,,,,,,,,,,
,,,"7149 Handicap Termikanova
Rovina III.kat. - 2400 m, handicap, 3letí a starší
2.200 EUR (1100 - 505 - 330 - 155 - 110)
Zápisné: 0 + 0 EUR",7.,"HELICONIA(GB), 3 kl","57,5",ž. Jan Rája,8,,7,Rosival Jozef,,,,,,,,,,,,
,,,,1.,"ITALIAN STALLION(IRE), 9 hř","61,5",ž. Ján Havlík,TUHÝ BOJ,,4,Hanáček Jaroslav,,,,,,,,,,,,
,,,,2.,"TOXIC(GER), 4 val","53,5",ž. Róbert Šara,nos,,9,Koplík Zdeno,,,,,,,,,,,,
,,,,3.,"FARAH, 3 kl","53,0",ž. Zuzana Vokálková,9,,8,Kalaš Pavel,,,,,,,,,,,,
,,,,4.,"GESINE(GB), 3 kl","52,0",ž. Peter Hodáň,3,,5,Lehocký Jozef,,,,,,,,,,,,
,,,,5.,"RAVEN(SVK), 3 hř","56,0",ž. Štefan Budovič,krk,,1,Ročák Michal,,,,,,,,,,,,
,,,,6.,"MARQUIS, 7 val","50,0",am. Zuzana Hricová,nos,,2,Chodúr Jozef,,,,,,,,,,,,
,,,,7.,"VAN DAMME(SVK), 3 val","55,0",ž. František Drozda,2 1/4,,6,Šebesta L`udovít,,Výsledky ze dne 20.10.2013 - Bratislava (Slovensko),"7135 Handicap Suprbleska
Rovina IV.kat. - 1200 m, handicap, 3letí a starší
1.700 EUR (850 - 390 - 255 - 120 - 85)
Zápisné: 0 + 0 EUR",1.,"SADBA, 3 kl","60,5",ž. Zdenko Šmida,JISTĚ,,3,Bodlák Radim,
,,,,,,,,,,,,,,,2.,"CADUKE(IRE), 3 kl","62,0",žk. Jozef Čekal,1 1/2,,6,Hlavenka Peter,
,,,,,,,,,,,,,,,3.,"EPOLETTA(POL*), 3 kl","56,5",Marie Trnková,nos,,1,Holčák František,
,,,,,,,,,,,,,,,4.,"EURIDIKA(IRE), 7 kl","53,0",ž. Peter Hodáň,nos,,8,Lehocký Jozef,
,,,,,,,,,,,,,,,5.,"SARNIA(IRE), 9 kl","60,5",ž. Jaroslav Línek,2 1/4,,5,Lehocký Jozef,
,,,,,,,,,,,,,,,6.,"DABIANGO(GER), 3 hř","55,5",ž. Róbert Šara,1,,2,Chodúr Jozef,
,,,,,,,,,,,,,,,7.,"QUITY(IRE), 8 kl","53,5",Michal Abík,3/4,,4,Hanáček Jaroslav,
,,,,,,,,,,,,,,,8.,"NELLY`S ROCK(IRE), 6 kl","62,5",Lukáš Matuský,krk,,9,Dohnálek Roman,
,,,,,,,,,,,,,,,9.,"FRANKÓ(HUN), 7 hř","59,5",ž. Ján Havlík,4 1/4,,7,Reindl Alexander,
,,,,,,,,,,,,,,"7136 Cena Rozmarína
Rovina III.kat. - 1700 m, cena, 3letí a starší
2.200 EUR (1100 - 505 - 330 - 155 - 110)
Zápisné: 0 + 0 EUR",10.,"DZANGELA(POL), 4 kl","52,0",ž. Gerlinde Mühlbichler,8,,10,Grupáčová Zuzana,
,,,,,,,,,,,,,,,1.,"NIGHT SWEET(IRE), 3 kl","53,0",Marie Trnková,JISTĚ,,4,Holčák František,
,,,,,,,,,,,,,,,2.,"AYRAN, 3 hř","57,0",ž. Zdenko Šmida,1 3/4,,8,Juránek Petr,
,,,,,,,,,,,,,,,3.,"COLD PLAYER(SLO), 8 hř","59,5",ž. Róbert Šara,1 3/4,,9,Valachovič Oto,
,,,,,,,,,,,,,,,4.,"SAJGON(POL), 4 hř","62,0",Lukáš Matuský,kr.hlava,,2,Kalaš Pavel,
,,,,,,,,,,,,,,,5.,"DEAR MR FANTASY(IRE), 6 hř","57,0",am. Zuzana Hricová,1/2,,5,Ročák Michal,
,,,,,,,,,,,,,,,6.,"STINGA, 4 kl","62,0",ž. Ján Havlík,5,,6,Holčák František,
,,,,,,,,,,,,,,,7.,"ALPINE SURI(IRE), 6 hř","63,5",ž. Jaroslav Línek,2 3/4,,7,Hlavenka Peter,
,,,,,,,,,,,,,,"7137 Cena BKIS
Proutky - - 2800 m, cena, 3letí a starší
1.600 EUR (800 - 400 - 240 - 160)
Zápisné: 0 + 0 EUR",8.,"FERNANDO, 3 hř","56,5",Michal Abík,2 1/2,,3,Hanáček Jaroslav,
,,,,,,,,,,,,,,,1.,"TWIST DANCER, 6 hř","72,0",Martin Liška,JISTĚ,,1,Hanáček Jaroslav,
,,,,,,,,,,,,,,,2.,"JIHLAVA(IRE), 4 kl","71,5",Vladimír Verner,1 1/4,,2,Hanáček Jaroslav,
,,,,,,,,,,,,,,,3.,"ILKE(IRE), 4 kl","69,5",Lukáš Matuský,16,,6,Hlavenka Peter,
,,,,,,,,,,,,,,,4.,"RUSSELL, 4 hř","73,0",ž. Jaroslav Brečka,nos,,5,Hanáček Jaroslav,
,,,,,,,,,,,,,,,5.,"ARAMONT(IRE), 3 hř","65,5",Thomas Garner,17,,3,Hlavenka Peter,
,,,,,,,,,,,,,,"7138 Memoriál Adolfa a Richarda Weissovcov
Rovina II.kat. - 1600 m, cena, 2letí
2.500 EUR (1250 - 575 - 375 - 175 - 125)
Zápisné: 0 + 0 EUR",PN,"MAKTUM(IRE), 6 hř","72,0",Jan Derych,,,4,Grupáčová Zuzana,
,,,,,,,,,,,,,,,1.,"SULMAN(SVK), 2 hř","57,0",ž. Štefan Budovič,LEHCE,,1,Ročák Michal,
,,,,,,,,,,,,,,,2.,"BRILLIEN(SVK), 2 kl","57,0",ž. Zdenko Šmida,3,,7,Kubovičová Zuzana,
,,,,,,,,,,,,,,,3.,"MAI THAI(SVK), 2 hř","57,0",ž. František Drozda,1 1/2,,2,Šebesta L`udovít,
,,,,,,,,,,,,,,,4.,"ROUSSEAU(POL), 2 hř","57,0",žk. Jozef Čekal,3,,6,Kalaš Pavel,
,,,,,,,,,,,,,,,5.,"EXOTIC BEAUTY, 2 kl","56,0",ž. Gerlinde Mühlbichler,2 1/2,,5,Lehocký Jozef,
,,,,,,,,,,,,,,,6.,"ROSEGHANA, 2 kl","56,0",Michal Abík,1 1/2,,8,Morávková Jaroslava,
,,,,,,,,,,,,,,,7.,"BORSA SCHARM(SVK), 2 kl","56,0",ž. Róbert Šara,6,,9,Kubovičová Zuzana,
,,,,,,,,,,,,,,,8.,"VIOLLET(SVK), 2 kl","56,0",ž. Peter Hodáň,16,,4,Šebesta L`udovít,
,,,,,,,,,,,,,,"7139 Cena ZUŠ Jána Albrechta
Steeplechase - - 3800 m, cena, 4letí a starší
1.900 EUR (950 - 435 - 285 - 135 - 95)
Zápisné: 0 + 0 EUR",9.,"BELLA(SVK), 2 kl","56,0",Lucia Urbaničová,16,,3,Kubovičová Zuzana,
,,,,,,,,,,,,,,,1.,"IRISH HEROES(IRE), 6 hř","67,5",Vladimír Verner,ZADRŽENĚ,,5,Hanáček Jaroslav,
,,,,,,,,,,,,,,,2.,"OLDFIELDROAD(IRE), 5 hř","69,5",ž. Jaroslav Brečka,10,,2,Brečka Jaroslav,
,,,,,,,,,,,,,,,3.,"SENSIBLE(GER), 9 hř","69,0",Martin Liška,13,,1,Dohnálek Roman,
,,,,,,,,,,,,,,,4.,"BYSTRUŠKA(SVK), 5 kl","67,0",Lukáš Matuský,3,,7,Kuchárik Ján,
,,,,,,,,,,,,,,,5.,"VALIANT(GER), 8 val","69,5",Thomas Garner,15,,4,Brečka Jaroslav,
,,,,,,,,,,,,,,,6.,"ZAGROŠKUDLA, 10 kl","67,0",Miroslav Stančík,3 1/2,,3,Kuchárik Ján,
,,,,,,,,,,,,,,"7140 Memoriál RNDr. Juraja Gressnera
Rovina II.kat. - 2000 m, cena, 3letí a starší
2.500 EUR (1250 - 625 - 375 - 250)
Zápisné: 0 + 0 EUR",PN,"TAMANGO(SVK), 6 hř","67,0",Jan Derych,,,6,Grupáčová Zuzana,
,,,,,,,,,,,,,,,1.,"AUTOR(IRE), 3 val","55,5",ž. Zdenko Šmida,LEHCE,,3,Holčák František,
,,,,,,,,,,,,,,,2.,"LIMONCELLO(GER), 7 hř","58,0",ž. Peter Hodáň,3,,5,Lehocký Jozef,
,,,,,,,,,,,,,,,3.,"WUELTO(SVK), 3 hř","63,5",ž. Jaroslav Línek,4,,4,Kubovičová Zuzana,
,,,,,,,,,,,,,,"7141 Cena Eliminátora
Rovina V.kat. - 1200 m, cena, 3letí a starší
1.200 EUR (600 - 275 - 180 - 85 - 60)
Zápisné: 0 + 0 EUR",4.,"BYSTRÍK(SVK), 5 hř","58,0",ž. Róbert Šara,8,,1,Kubovičová Zuzana,
,,,,,,,,,,,,,,,1.,"DOCTOR TIMOTEJ, 3 val","56,0",ž. Ján Havlík,JISTĚ,,9,Reindl Alexander,
,,,,,,,,,,,,,,,2.,"JOHN GULLY(IRE), 6 val","59,5",ž. Zdenko Šmida,1 1/4,,4,Brečka Jaroslav,
,,,,,,,,,,,,,,,3.,"MENY BAY(IRE), 3 kl","60,0",ž. Jaroslav Línek,1 1/2,,2,Hlavenka Peter,
,,,,,,,,,,,,,,,4.,"VAN DAMME(SVK), 3 val","57,0",ž. František Drozda,1 3/4,,8,Šebesta L`udovít,
,,,,,,,,,,,,,,,5.,"MISS WHISTLE(IRE), 4 kl","58,0",ž. Peter Hodáň,7,,5,Hlavenka Peter,
,,,,,,,,,,,,,,,6.,"HOLLYWOOD, 3 val","56,0",Michal Abík,7,,7,Hanáček Jaroslav,
,,,,,,,,,,,,,,,7.,"ABASKAN(SVK), 4 hř","58,5",žk. Jozef Čekal,6,,3,Grupáčová Zuzana,
,,,,,,,,,,,,,,,8.,"SUPRAVAŽÁN(SVK), 3 val","56,0",ž. Róbert Šara,11,,6,Hanáček Jaroslav,
,2012,Výsledky ze dne 28.10.2012 - Bratislava (Slovensko),"7135 Cena Napoleona
Rovina III.kat. - 1400 m, cena, 2letí
1.700 EUR (850 - 425 - 255 - 170)
Zápisné: 0 + 0 EUR",1.,"ZILIA(HUN), 2 kl","56,5",ž. Zdenko Šmida,ZADRŽENĚ,,2,Kubovičová Zuzana,,,,9.,"DANCER WILD(POL), 4 hř","58,5",ž. Gerlinde Mühlbichler,4 3/4,,1,Grupáčová Zuzana,
,,,,2.,"ROYAL RICHARD, 2 hř","57,5",ž. Jakub Pavlíček,4 3/4,,1,Morávková Jaroslava,,,,,,,,,,,,
,,,,3.,"EPOLETTA(POL*), 2 kl","56,0",Matej Rigo,4,,3,Holčák František,,,,,,,,,,,,
,,,,4.,"NIGHT SOLDIER(GER), 2 hř","56,0",ž. Róbert Šara,7,,4,Smontara Mladen,,,,,,,,,,,,
,,,"7136 Cena St. Simona
Rovina II.kat. - 1800 m, cena, 2letí
2.600 EUR (1300 - 650 - 390 - 260)
Zápisné: 0 + 0 EUR",5.,"CALL ME TIGER(SVK), 2 hř","57,5",Katarina Barboríková,6,,5,Végh Ludovít,,,,,,,,,,,,
,,,,1.,"SARAS(FR), 2 hř","58,0",ž. Zuzana Vokálková,V. LEHCE,,4,Holčák Radek,,,,,,,,,,,,
,,,,2.,"MIRAGTON, 2 hř","57,0",ž. Róbert Šara,7,,2,Piruch Jozef,,,,,,,,,,,,
,,,"7137 Dunajský pohár amatérov Rakousko - Maďarsko - Slovensko
Rovina IV.kat. - 1700 m, cena, 3letí a starší
1.500 EUR (750 - 345 - 225 - 105 - 75)
Zápisné: 0 + 0 EUR",3.,"KAROV(IRE), 2 hř","57,0",ž. Zdenko Šmida,10,,5,Kubovičová Zuzana,,,,,,,,,,,,
,,,,1.,"VAIT, 4 val","60,5",am. Michala Kucháriková,TUHÝ BOJ,,2,Mocek Květoslav,,,,,,,,,,,,
,,,,2.,"PRINCE HENRY(AUT), 4 val","60,5",am. Manuela Slamanig,hlava,,7,Kroutilík Jaroslav,,,,,,,,,,,,
,,,,3.,"BYSTRÍK(SVK), 4 hř","60,5",am. Jaroslava Mikuličová,13,,1,Kubovičová Zuzana,,,,,,,,,,,,
,,,,4.,"TANTARELLA(POL), 5 kl","62,0",am. Pavlína Petríková,1/2,,5,Kalaš Pavel,,,,,,,,,,,,
,,,,5.,"DZANGELA(POL), 3 kl","58,5",am. Alexandra Bihari,11,,6,Grupáčová Zuzana,,,,,,,,,,,,
,,,,6.,"LA STESSA(IRE), 4 kl","59,0",am. Ivona Hladíková,5,,9,Štěpánek Milan,,,,,,,,,,,,
,,,,7.,"PEPEJEAN(SVK), 5 val","60,5",am. Ákos Kocka,1 1/4,,3,Váňová Hana,,,,,,,,,,,,
,,,"7138 Cena Lexingtona
Rovina II.kat. - 1200 m, cena, 3letí a starší
2.600 EUR (1300 - 600 - 390 - 180 - 130)
Zápisné: 0 + 0 EUR",8.,"ROMANA(SVK), 5 kl","59,0",am. Hana Juránková,daleko,,8,Grupáčová Zuzana,,,,,,,,,,,,
,,,,1.,"ANOTHER TRUE STORY(GB), 8 hř","58,5",ž. Jakub Pavlíček,JISTĚ,,9,Koplík Zdeno,,,,,,,,,,,,
,,,,2.,"DODYBUD(IRE), 3 hř","58,0",ž. Zdenko Šmida,1 1/4,,8,Chodúr Jozef,,,,,,,,,,,,
,,,,3.,"DOUBLE PICCOLO(GER), 5 hř","61,5",Lukáš Matuský,1/2,,7,Maronka Gábor,,,,,,,,,,,,
,,,,4.,"BIARRITZ(SVK), 3 kl","59,5",ž. Róbert Šara,2,,5,Kubovičová Zuzana,,,,,,,,,,,,
,,,,5.,"LORD(POL), 8 hř","58,5",Matej Rigo,1 1/4,,1,Holčák František,,,,,,,,,,,,
,,,,6.,"SHARP BROOK, 4 val","58,5",ž. Peter Hodáň,10,,3,Demele Jan,,,,,,,,,,,,
,,,,7.,"GLASS OF CHAMPAGNE(SLO), 6 hř","61,5",ž. Jaroslav Línek,1,,4,Chodúr Jozef,,,,,,,,,,,,
,,,"7139 Cena grófa Jozefa Huňadyho
Rovina II.kat. - 1700 m, handicap, 3letí a starší
2.600 EUR (1300 - 600 - 390 - 180 - 130)
Zápisné: 0 + 0 EUR",8.,"JARIS(IRE), 5 kl","60,0",ž. Zuzana Vokálková,4 1/2,,2,Hlavenka Peter,,,,,,,,,,,,
,,,,1.,"PRIME PREACHER(USA), 4 val","57,5",ž. Gerlinde Mühlbichler,V. LEHCE,,1,Ročák Michal,,,,,,,,,,,,
,,,,2.,"JUBILANTKA(IRE), 4 kl","53,0",Katarina Barboríková,6,,6,Hanáček Jaroslav,,,,,,,,,,,,
,,,,3.,"EASY TIGER(GER), 6 hř","63,0",ž. Róbert Šara,1/2,,2,Kubovičová Zuzana,,,,,,,,,,,,
,,,,4.,"VITULUS(GER), 7 val","52,0",ž. Zdenko Šmida,1,,4,Hanáček Jaroslav,,,,,,,,,,,,
,,,,5.,"TAMAREI(IRE), 3 kl","58,0",ž. Jaroslav Línek,2,,8,Hlavenka Peter,,,,,,,,,,,,
,,,,6.,"NUCALS STAR(IRE), 4 val","53,0",ž. Zuzana Vokálková,2,,5,Holčák Radek,,,,,,,,,,,,
,,,,7.,"ROMANS, 4 hř","54,0",ž. Peter Hodáň,5,,9,Morávková Jaroslava,,,,,,,,,,,,
,,,,8.,"NICE TIGER(GER), 7 val","55,0",Lucia Urbaničová,4,,3,Koplík Zdeno,,,,,,,,,,,,
,,,"7140 Cena Jazlowieca
Proutky - - 3600 m, cena, 4letí a starší
1.700 EUR (850 - 390 - 255 - 120 - 85)
Zápisné: 0 + 0 EUR",9.,"APINOA, 6 kl","52,5",Petra Výtisková,3/4,,7,Váňová Hana,,,,,,,,,,,,
,,,,1.,"GARGANTUS(GER), 5 val","67,0",Matej Rigo,JISTĚ,,7,Holčák Radek,,,,,,,,,,,,
,,,,2.,"TWIST DANCER, 5 hř","66,0",Lukáš Matuský,1,,5,Hanáček Jaroslav,,,,,,,,,,,,
,,,,3.,"HIT, 9 val","66,0",Adam Čmiel,15,,1,Mocek Květoslav,,,,,,,,,,,,
,,,,4.,"GUALLATIRI(GB), 9 kl","65,0",Miroslav Stančík,daleko,,4,Grupáčová Zuzana,,,,,,,,,,,,
,,,,5.,"PISTENTEUFEL(AUT), 7 hř","66,0","Ján Mach, MVDr.",10,,2,Cagáň Ján,,,,,,,,,,,,
,,,,6.,"MAKTUM(IRE), 5 hř","66,0",Jan Derych,daleko,,3,Grupáčová Zuzana,,,,,,,,,,,,
,,,,ZN,"REPLICA TRACK(SVK), 5 kl","67,5",ž. Bohuslav Mátl,,,6,Dohnálek Roman,,,,,,,,,,,,
,,,"7141 Velká októbrová cena - Cena Mojmíroviec - Urmína
Rovina I.kat. - 2000 m, cena, 3letí a starší
5.600 EUR (2800 - 1400 - 840 - 560)
Zápisné: 0 + 0 EUR",ZN,"VIVE PAOLO(GER), 4 hř","68,0",ž. Martin Cagáň,,,8,Cagáň Ján,,,,,,,,,,,,
,,,,1.,"INDY JONES(GER), 4 hř","60,5",ž. Jaroslav Línek,LEHCE,,1,Smontara Mladen,,,,,,,,,,,,
,,,,2.,"YUCCA(IRE), 4 kl","59,0",ž. Róbert Šara,2 3/4,,6,Hlavenka Peter,,,,,,,,,,,,
,,,,3.,"INNOVATOR(GER), 5 hř","62,5",ž. Zdenko Šmida,1 1/2,,2,Kubovičová Zuzana,,,,,,,,,,,,
,,,,4.,"RED MISSION(GB), 3 hř","59,0",ž. Jakub Pavlíček,hlava,,4,Hanáček Jaroslav,,,,,,,,,,,,
,,,,5.,"COUNT OF TUSCANY(USA), 6 val","59,5",ž. Peter Hodáň,5,,5,Brečka Jaroslav,,,,,,,,,,,,
,,,"7142 Handicap Hankala
Rovina III.kat. - 2400 m, handicap, 3letí a starší
1.900 EUR (950 - 435 - 285 - 135 - 95)
Zápisné: 0 + 0 EUR",6.,"WASSILJEW(IRE), 8 val","59,5",Matej Rigo,7,,3,Dohnálek Roman,,,,,,,,,,,,
,,,,1.,"BELLE MESSAGERE(FR), 4 kl","62,0",ž. Jaroslav Línek,JISTĚ,,9,Chodúr Jozef,,,,,,,,,,,,
,,,,2.,"ROLLING OCEAN, 8 val","58,0",ž. Jakub Pavlíček,1 1/2,,7,Hála Libor,,,,,,,,,,,,
,,,,3.,"TYGR ROKYTENSKÝ, 3 val","52,0",ž. Gerlinde Mühlbichler,3,,5,Hála Libor,,,,,,,,,,,,
,,,,4.,"DZORDZETA(POL), 3 kl","56,5",ž. Róbert Šara,krk,,1,Brečka Jaroslav,,,,,,,,,,,,
,,,,5.,"MARQUIS, 6 val","49,5",am. Zuzana Hricová,4 1/4,,6,Chodúr Jozef,,,,,,,,,,,,
,,,,6.,"KIRUNG(POL), 8 hř","57,0",Matej Rigo,3 1/2,,8,Kalaš Pavel,,,,,,,,,,,,
,,,,7.,"SAVEDBYIVAN(GB), 5 kl","55,5",ž. Peter Hodáň,14,,4,Kalaš Pavel,,,,,,,,,,,,
,,,,8.,"SANSHA(IRE), 3 kl","59,5",ž. Zuzana Vokálková,19,,3,Valachovič Oto,,Výsledky ze dne 21.10.2012 - Bratislava (Slovensko),"7127 Handicap Fiorentie
Rovina IV.kat. - 1200 m, handicap, 3letí a starší
1.500 EUR (750 - 345 - 225 - 105 - 75)
Zápisné: 0 + 0 EUR",1.,"DAIDEGAS(ITY), 4 val","57,0",ž. Róbert Šara,BOJ,,7,Demele Jan,
,,,,,,,,,,,,,,,2.,"SARNIA(IRE), 8 kl","59,0",ž. Zdenko Šmida,3/4,,1,Lehocký Jozef,
,,,,,,,,,,,,,,,3.,"JUST FOR YOU(POL), 3 kl","59,0",Miroslav Korenek,1,,4,Zachovalová Kamila,
,,,,,,,,,,,,,,,4.,"GENY BEY(IRE), 4 kl","60,0",ž. Peter Hodáň,kr.hlava,,6,Hlavenka Peter,
,,,,,,,,,,,,,,,5.,"QUITY(IRE), 7 kl","60,0",Katarina Barboríková,1 3/4,,8,Břečková Veronika,
,,,,,,,,,,,,,,,6.,"FREE HOPE(FR), 3 kl","54,0",ž. Zuzana Vokálková,3 3/4,,2,Valachovič Oto,
,,,,,,,,,,,,,,,7.,"EURIDIKA(IRE), 6 kl","62,5",Matej Rigo,3 1/4,,5,Mlčúch Anton,
,,,,,,,,,,,,,,"7128 Cena Nazira
Rovina IV.kat. - 1600 m, cena, 2letí
1.400 EUR (700 - 350 - 210 - 140)
Zápisné: 0 + 0 EUR",8.,"BANZAI(GER), 8 val","52,5",am. Taťána Mášová,2,,3,Šomanová Lenka,
,,,,,,,,,,,,,,,1.,"TENO(POL), 2 hř","59,0",Jozef Parigál,TUHÝ BOJ,,3,Rosival Jozef,
,,,,,,,,,,,,,,,2.,"POPSTAR(GER), 2 hř","57,0",ž. Jakub Pavlíček,hlava,,4,Tůma Pavel,
,,,,,,,,,,,,,,,3.,"TAGGERTON, 2 hř","57,5",ž. Róbert Šara,1,,2,Kalaš Pavel,
,,,,,,,,,,,,,,,4.,"MARSHALL WELLS(IRE), 2 hř","56,0",ž. Zdenko Šmida,3 1/2,,5,Chodúr Jozef,
,,,,,,,,,,,,,,,5.,"GUILLERMO, 2 hř","56,0",Matej Rigo,1 1/2,,7,Holčák František,
,,,,,,,,,,,,,,,6.,"PYŠNÝ PÁV, 2 val","57,5",ž. Peter Hodáň,3,,1,Holčák František,
